Lang,Fscor,Recall,precision
BG,0.601,0.515,0.720
BG,0.595,0.510,0.713
BG,0,0,0
BG,0.601,0.515,0.720
BG,0.595,0.510,0.713
BG,0,0,0
CS,0.722,0.657,0.800
CS,0.718,0.654,0.796
CS,0.842,1.000,0.727
DE,0.367,0.280,0.533
DE,0.182,0.139,0.265
DE,0.250,1.000,0.143
EL,0.635,0.566,0.724
EL,0.572,0.509,0.652
EL,0,0,0
ES,0.723,0.654,0.810
ES,0.702,0.635,0.786
ES,0.500,1.000,0.333
FA,0.829,0.813,0.846
FA,0.829,0.813,0.846
FA,0,0,0
FR,0.770,0.715,0.834
FR,0.750,0.697,0.813
FR,0.105,1.000,0.056
HE,0.346,0.219,0.831
HE,0.340,0.215,0.817
HE,0.333,1.000,0.200
HU,0.852,0.858,0.846
HU,0.161,0.162,0.160
HU,0.150,1.000,0.081
IT,0.280,0.226,0.366
IT,0.263,0.213,0.345
IT,0.333,1.000,0.200
LT,0.171,0.100,0.583
LT,0.171,0.100,0.583
LT,0,0,0
MT,0.121,0.078,0.271
MT,0.102,0.066,0.229
MT,0,0,0
PL,0.744,0.653,0.863
PL,0.734,0.645,0.852
PL,0,0,0
PT,0.709,0.642,0.793
PT,0.680,0.615,0.760
PT,0.667,1.000,0.500
RO,0.875,0.843,0.910
RO,0.867,0.835,0.902
RO,0.667,1.000,0.500
SL,0.436,0.354,0.570
SL,0.416,0.337,0.543
SL,0,0,0
SV,0.375,0.250,0.750
SV,0.375,0.250,0.750
SV,0,0,0
TR,0.624,0.585,0.670
TR,0.591,0.554,0.634
TR,0,0,0
