BG,0.561,0.539,0.194,0,0.286,0.683,0,0,0,0
CS,0.72,0.716,0.336,0,0.533,0.807,0,0,0,0
DE,0.398,0.292,0.291,0.583,0.047,0.089,0,0.6,0.6,0
EL,0.433,0.394,0.271,0.522,0.444,0,0.063,0,0,0
ES,0.6,0.571,0.39,0,0.49,0.72,0.182,0,0,0
FA,0.844,0.844,0,0,0,0,0.844,0,0,0
FR,0.607,0.595,0.75,0,0.4,0.786,0,0,0,0
HE,0.297,0.282,0.162,0.272,0.314,0,0.293,0,0,0
HU,0.737,0.587,0,0.803,0.509,0,0,0.798,0.798,0
IT,0.279,0.264,0.257,0.5,0.175,0.303,0,0,0,0
LT,0.351,0.357,0.149,0,0.563,0,0,0,0,0
MT,0.069,0.064,0.077,0,0.066,0,0,0,0,0
PL,0.754,0.752,0.515,0,0.629,0.873,0,0,0,0
PT,0.695,0.682,0.653,0,0.68,0.689,0,0.444,0.444,0
RO,0.864,0.854,0.767,0,0.874,0.863,0,0,0,0
SL,0.379,0.404,0.091,0.475,0.074,0.457,0,0,0,0
SV,0.306,0.27,0.133,0.336,0.167,0.087,0,0,0,0
DE,0.398,0.292,0.291,0.583,0.047,0.089,0,0.6,0.6,0
DE,0.398,0.292,0.291,0.583,0.047,0.089,0,0.6,0.6,0
DE,0.398,0.292,0.291,0.583,0.047,0.089,0,0.6,0.6,0
TR,0.532,0.527,0.498,0,0.566,0,0.515,0,0,0
BG,0.562,0.551,0.283,0.703,0,0.2,0,0,0,0
BG,0.56,0.551,0.283,0.701,0,0.2,0,0,0,0
BG,0.558,0.539,0.286,0.677,0,0.194,0,0,0,0
BG,0.558,0.539,0.286,0.677,0,0.194,0,0,0,0
BG,0.558,0.539,0.286,0.677,0,0.194,0,0,0,0
BG,0.558,0.539,0.069,0.516,0,0.054,0,0,0,0
BG,0.558,0.539,0.286,0.677,0,0.194,0,0,0,0
CS,0.708,0.716,0.533,0.789,0,0.336,0,0,0,0
DE,0.34,0.292,0.047,0.022,0.583,0.291,0,0.392,0.392,0
EL,0.428,0.394,0.444,0,0.522,0.271,0.063,0,0,0
ES,0.586,0.571,0.49,0.686,0,0.39,0.182,0,0,0
FA,0.841,0.844,0,0,0,0,0.844,0,0,0
FR,0.606,0.595,0.4,0.778,0,0.75,0,0,0,0
HE,0.293,0.282,0.314,0,0.272,0.162,0.293,0,0,0
HU,0.737,0.587,0.509,0,0.803,0,0,0.798,0.798,0
IT,0.279,0.264,0.175,0.303,0.5,0.257,0,0,0,0
LT,0.341,0.357,0.563,0,0,0.149,0,0,0,0
MT,0.069,0.064,0.066,0,0,0.077,0,0,0,0
PL,0.751,0.752,0.629,0.866,0,0.515,0,0,0,0
PT,0.694,0.682,0.68,0.68,0,0.653,0,0.4,0.4,0
RO,0.86,0.854,0.874,0.857,0,0.767,0,0,0,0
SL,0.34,0.404,0.074,0.382,0.475,0.091,0,0,0,0
SV,0.301,0.27,0.167,0.069,0.336,0.133,0,0,0,0
TR,0.532,0.527,0.566,0,0,0.498,0.515,0,0,0
